year,score,president,party
194501,0.0677037647955,Roosevelt,Democrat
194601,0.11394809835,Truman,Democrat
194701,0.124106095462,Truman,Democrat
194801,0.194904411902,Truman,Democrat
194901,0.162277001758,Truman,Democrat
195001,0.227903522076,Truman,Democrat
195101,0.125546527422,Truman,Democrat
195201,0.141620307419,Truman,Democrat
195301,0.0933165613775,Truman,Democrat
195302,0.181306297247,Eisenhower,Republican
195401,0.20279186346,Eisenhower,Republican
195501,0.237616691741,Eisenhower,Republican
195601,0.176615357285,Eisenhower,Republican
195701,0.188947109584,Eisenhower,Republican
195801,0.132464280686,Eisenhower,Republican
195901,0.191694740629,Eisenhower,Republican
196001,0.139517574153,Eisenhower,Republican
196101,0.201311219106,Eisenhower,Republican
196101,0.0809692578586,Kennedy,Democrat
196201,0.124061046963,Kennedy,Democrat
196301,0.118456964655,Kennedy,Democrat
196401,0.0926488534225,Johnson,Democrat
196501,0.205786688168,Johnson,Democrat
196601,0.0812832029356,Johnson,Democrat
196701,0.137858795363,Johnson,Democrat
196801,0.144472537477,Johnson,Democrat
196901,0.159420842871,Johnson,Democrat
197001,0.125960335858,Nixon,Republican
197101,0.229990628186,Nixon,Republican
197201,0.182009799528,Nixon,Republican
197302,0.225951552011,Nixon,Republican
197401,0.18502064918,Nixon,Republican
197501,0.113464857598,Ford,Republican
197601,0.130761228336,Ford,Republican
197701,0.160462101912,Ford,Republican
197801,0.154033375616,Carter,Democrat
197901,0.180082691871,Carter,Democrat
198001,0.148872236442,Carter,Democrat
198101,0.170925992778,Carter,Democrat
198201,0.0781418199665,Reagan,Republican
198301,0.113305845648,Reagan,Republican
198401,0.225586848024,Reagan,Republican
198502,0.219384848751,Reagan,Republican
198602,0.197861568159,Reagan,Republican
198701,0.165286347658,Reagan,Republican
198801,0.178874611406,Reagan,Republican
198902,0.150589587968,Bush,Republican
199001,0.196882741604,Bush,Republican
199101,0.105249455019,Bush,Republican
199201,0.0836197948854,Bush,Republican
199302,0.129435468974,Clinton,Democrat
199401,0.102599361761,Clinton,Democrat
199501,0.0890378809399,Clinton,Democrat
199601,0.0773163016413,Clinton,Democrat
199702,0.137550537902,Clinton,Democrat
199801,0.165985711234,Clinton,Democrat
199901,0.146508809781,Clinton,Democrat
200001,0.154315175145,Clinton,Democrat
200102,0.198505460683,Bush,Republican
200109,0.0234018323513,Bush,Republican
200201,0.0953005287263,Bush,Republican
200301,0.0780631713271,Bush,Republican
200401,0.0953504663986,Bush,Republican
200502,0.223943588981,Bush,Republican
200601,0.144794841802,Bush,Republican
200701,0.111824715126,Bush,Republican
200801,0.181450331816,Bush,Republican
200902,0.073489439962,Obama,Democrat
201001,0.070169735083,Obama,Democrat
201101,0.151025403805,Obama,Democrat
201201,0.0719093816584,Obama,Democrat
201302,0.161578224547,Obama,Democrat
201401,0.139888730906,Obama,Democrat
201501,0.10326607794,Obama,Democrat
201601,0.113570426041,Obama,Democrat
